SequenceName	SequenceRole	AssignedMolecule	GenBankAccn	Relationship	RefSeqAccn	AssemblyUnit	SequenceLength	UCSCStyleName	circular
MMCHR5_RANDOM_CTG4	unlocalized-scaffold	5	GL456354.1	=	NT_166438.1	C57BL/6J	195993	chr5_GL456354v1_random	FALSE
MMCHR5_RANDOM_CTG1	unlocalized-scaffold	5	JH584296.1	=	NT_187056.1	C57BL/6J	199368	chr5_JH584296v1_random	FALSE
MMCHR5_RANDOM_CTG2	unlocalized-scaffold	5	JH584297.1	=	NT_187057.1	C57BL/6J	205776	chr5_JH584297v1_random	FALSE
MMCHR5_RANDOM_CTG3	unlocalized-scaffold	5	JH584298.1	=	NT_187058.1	C57BL/6J	184189	chr5_JH584298v1_random	FALSE
MMCHR5_RANDOM_CTG5	unlocalized-scaffold	5	JH584299.1	=	NT_187059.1	C57BL/6J	953012	chr5_JH584299v1_random	FALSE
MMCHR7_RANDOM_CTG1	unlocalized-scaffold	7	GL456219.1	=	NT_166307.1	C57BL/6J	175968	chr7_GL456219v1_random	FALSE
MMCHRX_RANDOM_CTG2	unlocalized-scaffold	X	GL456233.2	=	NT_165789.3	C57BL/6J	559103	chrX_GL456233v2_random	FALSE
MMCHRY_CTGU1	unlocalized-scaffold	Y	JH584300.1	=	NT_187060.1	C57BL/6J	182347	chrY_JH584300v1_random	FALSE
MMCHRY_CTGU2	unlocalized-scaffold	Y	JH584301.1	=	NT_187061.1	C57BL/6J	259875	chrY_JH584301v1_random	FALSE
MMCHRY_CTGU3	unlocalized-scaffold	Y	JH584302.1	=	NT_187062.1	C57BL/6J	155838	chrY_JH584302v1_random	FALSE
MMCHRY_CTGU4	unlocalized-scaffold	Y	JH584303.1	=	NT_187063.1	C57BL/6J	158099	chrY_JH584303v1_random	FALSE
MSCHRUN_CTG13	unplaced-scaffold	NA	GL456359.1	=	NT_166443.1	C57BL/6J	22974	chrUn_GL456359v1	FALSE
MSCHRUN_CTG14	unplaced-scaffold	NA	GL456360.1	=	NT_166444.1	C57BL/6J	31704	chrUn_GL456360v1	FALSE
MSCHRUN_CTG21	unplaced-scaffold	NA	GL456366.1	=	NT_166450.1	C57BL/6J	47073	chrUn_GL456366v1	FALSE
MSCHRUN_CTG2	unplaced-scaffold	NA	GL456367.1	=	NT_166451.1	C57BL/6J	42057	chrUn_GL456367v1	FALSE
MSCHRUN_CTG22	unplaced-scaffold	NA	GL456368.1	=	NT_166452.1	C57BL/6J	20208	chrUn_GL456368v1	FALSE
MSCHRUN_CTG19	unplaced-scaffold	NA	GL456370.1	=	NT_166454.1	C57BL/6J	26764	chrUn_GL456370v1	FALSE
MSCHRUN_CTG16	unplaced-scaffold	NA	GL456372.1	=	NT_166456.1	C57BL/6J	28664	chrUn_GL456372v1	FALSE
MSCHRUN_CTG3	unplaced-scaffold	NA	GL456378.1	=	NT_166462.1	C57BL/6J	31602	chrUn_GL456378v1	FALSE
MSCHRUN_CTG20	unplaced-scaffold	NA	GL456379.1	=	NT_166463.1	C57BL/6J	72385	chrUn_GL456379v1	FALSE
MSCHRUN_CTG4	unplaced-scaffold	NA	GL456381.1	=	NT_166465.1	C57BL/6J	25871	chrUn_GL456381v1	FALSE
MSCHRUN_CTG5	unplaced-scaffold	NA	GL456382.1	=	NT_166466.1	C57BL/6J	23158	chrUn_GL456382v1	FALSE
MSCHRUN_CTG6	unplaced-scaffold	NA	GL456383.1	=	NT_166467.1	C57BL/6J	38659	chrUn_GL456383v1	FALSE
MSCHRUN_CTG7	unplaced-scaffold	NA	GL456385.1	=	NT_166469.1	C57BL/6J	35240	chrUn_GL456385v1	FALSE
MSCHRUN_CTG17	unplaced-scaffold	NA	GL456387.1	=	NT_166471.1	C57BL/6J	24685	chrUn_GL456387v1	FALSE
MSCHRUN_CTG18	unplaced-scaffold	NA	GL456389.1	=	NT_166473.1	C57BL/6J	28772	chrUn_GL456389v1	FALSE
MSCHRUN_CTG9	unplaced-scaffold	NA	GL456390.1	=	NT_166474.1	C57BL/6J	24668	chrUn_GL456390v1	FALSE
MSCHRUN_CTG10	unplaced-scaffold	NA	GL456392.1	=	NT_166476.1	C57BL/6J	23629	chrUn_GL456392v1	FALSE
MSCHRUN_CTG12	unplaced-scaffold	NA	GL456394.1	=	NT_166478.1	C57BL/6J	24323	chrUn_GL456394v1	FALSE
MSCHRUN_CTG15	unplaced-scaffold	NA	GL456396.1	=	NT_166480.1	C57BL/6J	21240	chrUn_GL456396v1	FALSE
MSCHRUN_CTG23	unplaced-scaffold	NA	JH584304.1	=	NT_187064.1	C57BL/6J	114452	chrUn_JH584304v1	FALSE
MSCHRUN_CTG24	unplaced-scaffold	NA	MU069435.1	=	NW_023337853.1	C57BL/6J	31129	chrUn_MU069435v1	FALSE
