SequenceName	SequenceRole	AssignedMolecule	GenBankAccn	Relationship	RefSeqAccn	AssemblyUnit	SequenceLength	UCSCStyleName	circular
HG444_PATCH	fix-patch	7	KE332499.1	=	NW_004775430.1	PATCHES	274521	NA	FALSE
HG104_HG975_PATCH	fix-patch	8	GL383535.1	=	NW_003315923.1	PATCHES	429806	NA	FALSE
HG243_PATCH	fix-patch	8	GL383536.1	=	NW_003315924.1	PATCHES	203777	NA	FALSE
HG19_PATCH	fix-patch	8	GL949743.1	=	NW_003571042.1	PATCHES	608579	NA	FALSE
HG418_PATCH	fix-patch	8	JH159135.2	=	NW_003871066.2	PATCHES	102251	NA	FALSE
HG1699_PATCH	fix-patch	8	KE332500.1	=	NW_004775431.1	PATCHES	228602	NA	FALSE
HG79_PATCH	fix-patch	9	GL339450.1	=	NW_003315925.1	PATCHES	330164	NA	FALSE
HG998_1_PATCH	fix-patch	9	GL383537.1	=	NW_003315926.1	PATCHES	62435	NA	FALSE
HG998_2_PATCH	fix-patch	9	GL383538.1	=	NW_003315927.1	PATCHES	49281	NA	FALSE
HG962_PATCH	fix-patch	9	JH636059.1	=	NW_003871067.1	PATCHES	295379	NA	FALSE
HG1500_PATCH	fix-patch	9	JH806577.1	=	NW_004070867.1	PATCHES	22394	NA	FALSE
HG1501_PATCH	fix-patch	9	JH806578.1	=	NW_004070868.1	PATCHES	169437	NA	FALSE
HG1502_PATCH	fix-patch	9	JH806579.1	=	NW_004070869.1	PATCHES	211307	NA	FALSE
HG50_PATCH	fix-patch	9	KB663605.1	=	NW_004504301.1	PATCHES	155926	NA	FALSE
HG544_PATCH	fix-patch	10	GL383543.1	=	NW_003315932.1	PATCHES	392792	NA	FALSE
HG995_PATCH	fix-patch	10	GL383544.1	=	NW_003315933.1	PATCHES	128378	NA	FALSE
HG905_PATCH	fix-patch	10	GL877873.1	=	NW_003571043.1	PATCHES	168465	NA	FALSE
HG1211_PATCH	fix-patch	10	JH591181.2	=	NW_003871068.1	PATCHES	2281126	NA	FALSE
HG311_PATCH	fix-patch	10	JH591182.1	=	NW_003871069.1	PATCHES	196262	NA	FALSE
HG339_PATCH	fix-patch	10	JH591183.1	=	NW_003871070.1	PATCHES	177920	NA	FALSE
HG871_PATCH	fix-patch	10	JH636060.1	=	NW_003871071.1	PATCHES	437946	NA	FALSE
HG1479_PATCH	fix-patch	10	JH806580.1	=	NW_004070870.1	PATCHES	93149	NA	FALSE
HG1074_PATCH	fix-patch	10	KB663606.1	=	NW_004504302.1	PATCHES	305900	NA	FALSE
HG979_PATCH	fix-patch	10	KE332501.1	=	NW_004775432.1	PATCHES	1020827	NA	FALSE
HG281_PATCH	fix-patch	11	GL582973.1	=	NW_003571045.1	PATCHES	321004	NA	FALSE
HG536_PATCH	fix-patch	11	GL949744.1	=	NW_003571046.1	PATCHES	276448	NA	FALSE
HG299_PATCH	fix-patch	11	JH159138.1	=	NW_003871076.1	PATCHES	108875	NA	FALSE
HG305_PATCH	fix-patch	11	JH159139.1	=	NW_003871077.1	PATCHES	120441	NA	FALSE
HG306_PATCH	fix-patch	11	JH159140.1	=	NW_003871078.1	PATCHES	546435	NA	FALSE
HG348_PATCH	fix-patch	11	JH159141.2	=	NW_003871079.1	PATCHES	240775	NA	FALSE
HG388_HG400_PATCH	fix-patch	11	JH159142.2	=	NW_003871080.1	PATCHES	326647	NA	FALSE
HG414_PATCH	fix-patch	11	JH159143.1	=	NW_003871081.1	PATCHES	191402	NA	FALSE
HG256_PATCH	fix-patch	11	JH591184.1	=	NW_003871075.1	PATCHES	462282	NA	FALSE
HG873_PATCH	fix-patch	11	JH591185.1	=	NW_003871082.1	PATCHES	167437	NA	FALSE
HG122_PATCH	fix-patch	11	JH720443.2	=	NW_003871072.2	PATCHES	408430	NA	FALSE
HG865_PATCH	fix-patch	11	JH806581.1	=	NW_004070871.1	PATCHES	872115	NA	FALSE
HG996_PATCH	fix-patch	12	GL383548.1	=	NW_003315937.1	PATCHES	165247	NA	FALSE
HG858_PATCH	fix-patch	12	GL582974.1	=	NW_003571048.1	PATCHES	163298	NA	FALSE
HG344_PATCH	fix-patch	12	JH720444.2	=	NW_003871083.2	PATCHES	273128	NA	FALSE
HG1595_PATCH	fix-patch	12	KB663607.2	=	NW_004504303.2	PATCHES	334922	NA	FALSE
HG531_PATCH	fix-patch	13	GL582975.1	=	NW_003571051.1	PATCHES	34662	NA	FALSE
HG1592_PATCH	fix-patch	14	KB021645.1	=	NW_004166863.1	PATCHES	1523386	NA	FALSE
HG971_PATCH	fix-patch	15	JH720445.1	=	NW_003871084.1	PATCHES	170033	NA	FALSE
HG1208_PATCH	fix-patch	16	JH720446.1	=	NW_003871085.1	PATCHES	97345	NA	FALSE
HG183_PATCH	fix-patch	17	GL383558.1	=	NW_003315947.1	PATCHES	457041	NA	FALSE
HG745_PATCH	fix-patch	17	GL383559.2	=	NW_003315948.2	PATCHES	338640	NA	FALSE
HG75_PATCH	fix-patch	17	GL383560.1	=	NW_003315949.1	PATCHES	534288	NA	FALSE
HG987_PATCH	fix-patch	17	GL383561.2	=	NW_003315950.2	PATCHES	644425	NA	FALSE
HG990_PATCH	fix-patch	17	GL383562.1	=	NW_003315951.1	PATCHES	45551	NA	FALSE
HG185_PATCH	fix-patch	17	GL582976.1	=	NW_003571052.1	PATCHES	412535	NA	FALSE
HG747_PATCH	fix-patch	17	JH159144.1	=	NW_003871088.1	PATCHES	388340	NA	FALSE
HG883_PATCH	fix-patch	17	JH159145.1	=	NW_003871090.1	PATCHES	194862	NA	FALSE
HG748_PATCH	fix-patch	17	JH591186.1	=	NW_003871089.1	PATCHES	376223	NA	FALSE
HG271_PATCH	fix-patch	17	JH636061.1	=	NW_003871087.1	PATCHES	186059	NA	FALSE
HG1146_PATCH	fix-patch	17	JH720447.1	=	NW_003871086.1	PATCHES	454385	NA	FALSE
HG417_PATCH	fix-patch	17	JH806582.2	=	NW_004070872.2	PATCHES	342635	NA	FALSE
HG385_PATCH	fix-patch	17	KB021646.2	=	NW_004166864.2	PATCHES	211416	NA	FALSE
HG1591_PATCH	fix-patch	17	KE332502.1	=	NW_004775433.1	PATCHES	341712	NA	FALSE
HG730_PATCH	fix-patch	19	GL582977.2	=	NW_003571053.2	PATCHES	580393	NA	FALSE
HG729_PATCH	fix-patch	19	JH159149.1	=	NW_003871094.1	PATCHES	245473	NA	FALSE
HG1079_PATCH	fix-patch	19	KB021647.1	=	NW_004166865.1	PATCHES	1058686	NA	FALSE
HG1350_HG959_PATCH	fix-patch	19	KE332505.1	=	NW_004775434.1	PATCHES	579598	NA	FALSE
HG506_HG507_HG1000_PATCH	fix-patch	20	GL582979.2	=	NW_003571063.2	PATCHES	179899	NA	FALSE
HG144_PATCH	fix-patch	20	JH720448.1	=	NW_003871095.1	PATCHES	70483	NA	FALSE
HG944_PATCH	fix-patch	20	KB663608.1	=	NW_004504304.1	PATCHES	283551	NA	FALSE
HG237_PATCH	fix-patch	21	KE332506.1	=	NW_004775435.1	PATCHES	307252	NA	FALSE
HG329_PATCH	fix-patch	22	JH720449.1	=	NW_003871096.1	PATCHES	212298	NA	FALSE
HG1486_PATCH	fix-patch	22	JH806583.1	=	NW_004070873.1	PATCHES	167183	NA	FALSE
HG1487_PATCH	fix-patch	22	JH806584.1	=	NW_004070874.1	PATCHES	70876	NA	FALSE
HG1488_PATCH	fix-patch	22	JH806585.1	=	NW_004070875.1	PATCHES	73505	NA	FALSE
HG497_PATCH	fix-patch	22	JH806586.1	=	NW_004070876.1	PATCHES	43543	NA	FALSE
HG480_HG481_PATCH	fix-patch	X	GL877877.2	=	NW_003571064.2	PATCHES	284527	NA	FALSE
HG1497_PATCH	fix-patch	X	JH159150.3	=	NW_003871103.3	PATCHES	3110903	NA	FALSE
HG1423_PATCH	fix-patch	X	JH720451.1	=	NW_003871098.1	PATCHES	898979	NA	FALSE
HG1424_PATCH	fix-patch	X	JH720452.1	=	NW_003871099.1	PATCHES	522319	NA	FALSE
HG1425_PATCH	fix-patch	X	JH720453.1	=	NW_003871100.1	PATCHES	1461188	NA	FALSE
HG1426_PATCH	fix-patch	X	JH720454.3	=	NW_003871101.3	PATCHES	752267	NA	FALSE
HG375_PATCH	fix-patch	X	JH720455.1	=	NW_003871102.1	PATCHES	65034	NA	FALSE
HG1433_PATCH	fix-patch	X	JH806587.1	=	NW_004070877.1	PATCHES	4110759	NA	FALSE
HG1434_PATCH	fix-patch	X	JH806588.1	=	NW_004070878.1	PATCHES	862483	NA	FALSE
HG1435_PATCH	fix-patch	X	JH806589.1	=	NW_004070879.1	PATCHES	270630	NA	FALSE
HG1436_HG1432_PATCH	fix-patch	X	JH806590.2	=	NW_004070880.2	PATCHES	2418393	NA	FALSE
HG1437_PATCH	fix-patch	X	JH806591.1	=	NW_004070881.1	PATCHES	882083	NA	FALSE
HG1438_PATCH	fix-patch	X	JH806592.1	=	NW_004070882.1	PATCHES	835911	NA	FALSE
HG1439_PATCH	fix-patch	X	JH806593.1	=	NW_004070883.1	PATCHES	389631	NA	FALSE
HG1440_PATCH	fix-patch	X	JH806594.1	=	NW_004070884.1	PATCHES	390496	NA	FALSE
HG1441_PATCH	fix-patch	X	JH806595.1	=	NW_004070885.1	PATCHES	444074	NA	FALSE
HG1442_PATCH	fix-patch	X	JH806596.1	=	NW_004070886.1	PATCHES	413927	NA	FALSE
HG1443_HG1444_PATCH	fix-patch	X	JH806597.1	=	NW_004070887.1	PATCHES	1045622	NA	FALSE
HG1453_PATCH	fix-patch	X	JH806598.1	=	NW_004070888.1	PATCHES	899320	NA	FALSE
HG1458_PATCH	fix-patch	X	JH806599.1	=	NW_004070889.1	PATCHES	1214327	NA	FALSE
HG1459_PATCH	fix-patch	X	JH806600.2	=	NW_004070890.2	PATCHES	6530008	NA	FALSE
HG1462_PATCH	fix-patch	X	JH806601.1	=	NW_004070891.1	PATCHES	1389764	NA	FALSE
HG1463_PATCH	fix-patch	X	JH806602.1	=	NW_004070892.1	PATCHES	713266	NA	FALSE
HG1490_PATCH	fix-patch	X	JH806603.1	=	NW_004070893.1	PATCHES	182949	NA	FALSE
HG29_PATCH	fix-patch	X	KB021648.1	=	NW_004166866.1	PATCHES	469972	NA	FALSE
HSCHR1_1_CTG31	novel-patch	1	GL383518.1	=	NW_003315905.1	PATCHES	182439	NA	FALSE
HSCHR1_2_CTG31	novel-patch	1	GL383519.1	=	NW_003315906.1	PATCHES	110268	NA	FALSE
HSCHR1_3_CTG31	novel-patch	1	GL383520.1	=	NW_003315907.1	PATCHES	366579	NA	FALSE
HSCHR2_1_CTG1	novel-patch	2	GL383521.1	=	NW_003315908.1	PATCHES	143390	NA	FALSE
HSCHR2_1_CTG12	novel-patch	2	GL383522.1	=	NW_003315909.1	PATCHES	123821	NA	FALSE
HSCHR2_2_CTG12	novel-patch	2	GL582966.2	=	NW_003571033.2	PATCHES	96131	NA	FALSE
HSCHR3_1_CTG2_1	novel-patch	3	GL383526.1	=	NW_003315913.1	PATCHES	180671	NA	FALSE
HSCHR3_1_CTG1	novel-patch	3	JH636055.1	=	NW_003871060.1	PATCHES	173151	NA	FALSE
HSCHR4_1_CTG12	novel-patch	4	GL383527.1	=	NW_003315914.1	PATCHES	164536	NA	FALSE
